datapointID,sequence
train_00238,∫ ∇ Φ Ξ Φ Ξ Φ Ω Ω ∇ ∇ Φ ∫ Ω
train_00239,∇ ∂ Φ Ω Ω ∫ ∂ ∫ Ω ∫ Ω
train_00240,∇ ∇ ∂ ∫ ∂ Φ Ω ∂
train_00241,Ξ Ω Φ Ω Φ Φ Ω
train_00242,∇ Ξ ∂ ∫ ∫ ∇
train_00243,Ξ Φ ∇ Ξ ∇ ∫ ∂ Ξ Ξ
train_00244,Ξ Ω ∂ Ξ Φ ∂ ∫ Ω ∂ ∇ Φ ∂
train_00245,∫ Φ ∂ Φ ∫ Ω ∇ Φ Ξ ∂ ∇ Ξ ∂
train_00246,∫ ∂ Ξ Ω Ω ∂ ∫ Ω Ω Ξ Ξ ∇ ∫ ∫
train_00247,∇ Ω Φ ∂ Ω Ξ ∫ Ω Φ
train_00248,∂ ∂ Ξ Ω ∇ Φ Φ ∫ ∫ Ω Ω
train_00249,∫ Φ ∇ ∂ Ω ∇
train_00250,Ω Ω Φ Ω Ω Ξ
train_00251,∂ ∇ ∇ Ω Ξ ∇
train_00252,Φ ∫ ∇ Φ Ω Ω Ω Ω ∫
train_00253,Ξ ∂ ∇ Φ ∇
train_00254,∫ ∫ ∫ ∇ ∫ ∂ Φ ∫ ∂
train_00255,∫ Ω ∇ ∇ Ω Φ Ξ Φ Ξ Ξ ∇ Φ ∇
train_00256,∫ ∇ ∫ ∫ ∫ Ω ∫
train_00257,Φ Φ ∂ Φ ∂ ∫ ∇ ∫ Φ Ω ∂ Φ Ω Ξ
train_00258,∇ ∇ ∂ Φ Ξ Φ Ω Φ
train_00259,∫ Ξ ∂ ∂ ∫ Ξ Ξ ∂ ∫ Ω Ω
train_00260,Φ ∫ ∇ ∫ Φ ∇ ∇ ∇ ∂ ∫ ∂ Φ Ω
train_00261,∇ ∫ Ω ∫ Φ Φ Ξ Ω ∂
train_00262,Φ ∇ ∂ ∇ ∇ Ω ∇ Ξ Ω Ξ ∇ ∂ Ξ
train_00263,∫ Ω ∫ ∫ Φ ∫
train_00264,Ω Ξ Ξ ∂ Ξ Φ Φ ∇
train_00265,∇ Φ Ω Ξ ∫ ∫ Ω Φ Ξ Ω Ω ∇
train_00266,∫ ∂ ∇ ∂ Ω ∂ ∫ ∂ ∂
train_00267,Ω Φ Ξ Φ Ξ ∇ ∇ ∂ ∂ ∂ Ω
train_00268,Φ Ξ Φ Ξ Φ Ω ∫ ∂ Φ
train_00269,∫ ∂ Φ Φ ∇ Φ ∫ Ω ∂ Φ ∇
train_00270,Ξ ∂ Ω ∫ ∫ ∇
train_00271,Ξ ∂ ∫ ∫ Ω ∇
train_00272,Ξ ∇ Φ ∂ ∫ Ω ∫ ∂ Ξ Ω Ξ
train_00273,∇ Ω Ξ Ξ Ξ Φ ∇ ∫ ∇
train_00274,∫ Ξ ∂ Ω Ξ ∫ Φ ∫
train_00275,∇ ∇ Ω ∂ ∫
train_00276,Ω ∇ ∂ Ξ ∂ ∫ Ω ∂ ∇ Φ ∫ Ω
train_00277,∂ ∫ ∂ ∇ Ξ Ω Ξ Φ ∫ Φ
train_00278,∇ Φ ∇ Ξ ∇
train_00279,∫ Φ ∇ ∇ Ξ Ξ ∇ Φ ∂ ∂ Ω Ω Φ ∫
train_00280,∂ Ξ Ξ Φ Ω Φ ∫
train_00281,∫ Ξ ∫ ∇ Φ ∫ ∫ ∇ ∂ ∫ ∇ Ω Ω
train_00282,Ξ ∫ Ξ ∂ Ω Φ ∂ ∂ ∇ Ω Ω Φ ∂ ∇
train_00283,Ω Ξ ∂ Φ ∇ ∫ ∫ Φ Ξ ∂ Ξ ∫ ∫ Ω
train_00284,Ω ∇ Ω ∇ Ξ Ξ ∫
train_00285,∫ Φ ∇ Ω ∂ Ξ ∂ ∇ ∂ ∂ ∫ Φ Φ
train_00286,Ω Φ ∂ ∫ ∂ ∫ ∂ Ω ∫ Ω Ξ
train_00287,∂ ∇ Φ Φ Ω ∇ ∂ Φ
train_00288,Φ Φ Φ ∫ ∇ ∂ ∂ ∂ ∇ ∇
train_00289,Ω Φ Ξ ∫ ∇ ∂
train_00290,∫ ∫ ∇ ∇ Ω Φ ∫ Φ ∇ ∂
train_00291,Φ Ω ∫ ∂ ∫ Ω Ξ ∂ ∂ Ξ Φ ∇ Ξ ∫
train_00292,Φ Φ ∫ ∫ Ω Ξ ∫ Ξ ∇
train_00293,Ω ∂ ∫ ∇ Φ ∂ Ω Ξ
train_00294,∂ ∂ ∇ Φ Φ ∇
train_00295,Φ ∂ Ξ ∫ Ξ Ω Ω ∇ Ξ ∂ ∫ Ξ ∂
train_00296,∇ Φ ∫ Φ Φ ∫ Ω ∂
train_00297,∇ ∂ Ω ∇ ∇ Φ Ξ Φ
train_00298,∂ ∇ Ξ Φ Ω Φ ∫ Φ Ξ
train_00299,Φ ∇ ∫ Φ ∇ Ξ ∂ Φ ∇ Φ ∂ ∫
train_00300,∇ ∫ ∇ ∇ ∇ Φ Ω ∂ Ω
train_00301,Φ Ω ∫ Ξ ∫ ∇ ∇ Ξ
train_00302,∇ Φ ∇ Ξ ∇ Φ Ω Φ ∂ Φ
train_00303,∫ ∂ Ω ∫ Φ Φ Φ
train_00304,∫ ∫ Ω Ω ∫ ∂ ∫ ∫ ∂
train_00305,Ξ ∫ Ω ∫ Ξ
train_00306,∫ ∫ ∫ Ω ∫
train_00307,Ξ Φ ∫ ∂ Ξ ∂ ∫ ∇ Ξ ∂ Ω
train_00308,∂ ∂ ∫ Φ Ξ ∇ ∇ ∂ Ξ Ω Φ Φ ∂ Φ
train_00309,∂ ∫ Ω ∇ ∇ ∇ ∫ Φ ∇ ∂ Φ ∇ ∂ Ξ
train_00310,∫ Ω ∇ ∇ ∇ ∫ Ω ∫ Ξ ∇ ∂ ∂ Φ
train_00311,Φ ∇ ∇ ∫ ∂
train_00312,∫ Φ ∇ Ξ Φ ∂ ∫
train_00313,Φ ∫ Ξ ∇ Φ Ξ
train_00314,∫ Ξ Ξ Φ ∂ ∇ ∇ ∇
train_00315,∂ Ω ∂ Ξ ∂ Φ ∇
train_00316,∫ Ξ ∂ Ξ Ξ
train_00317,∫ Φ ∫ Ω ∂ Φ Φ ∇ Ξ
train_00318,Ω ∇ ∫ Φ ∇ ∫ ∇ ∫ Ξ Ξ ∂ ∇ Ξ
train_00319,∫ ∫ Ξ ∫ ∫ Φ Ξ ∂ ∇ Φ ∂ Ω ∫ ∇
train_00320,∫ ∂ ∂ Ω ∇ Φ Φ ∂ ∇ ∂ Ξ Ξ ∇ ∂
train_00321,Ω ∫ ∇ ∫ ∫ ∫ Ξ
train_00322,∇ Ξ Ω ∫ Ω Φ
train_00323,Φ ∇ Ω Ξ Ω
train_00324,∇ ∇ ∫ ∇ ∇ ∂ ∂ ∂ ∇ Ω ∫ Φ ∫ Ξ
train_00325,Φ ∂ ∇ ∫ ∂ ∂ Ξ ∂ Ξ Ξ Φ ∇
train_00326,Ξ Ξ Ω Φ Ω Ξ Ω
train_00327,∇ ∫ ∫ ∫ Ω ∇ Ξ ∇
train_00328,Ξ Ξ ∇ ∂ Φ ∫ ∂ Ξ Ξ
train_00329,Ξ ∂ Ξ ∂ Ξ
train_00330,∫ Φ ∇ ∂ Ω
train_00331,Ω Ξ Ξ ∫ ∂ ∂ ∂ Φ ∇
train_00332,∫ Ξ Ξ ∫ Ξ Ξ Φ ∇ ∫ ∂ Ω Φ
train_00333,∂ Ω Ω ∫ ∇ Ω ∫
train_00334,Ω Ξ ∇ Φ ∇ ∂ ∫
train_00335,∂ Ω ∂ Ξ ∫ Ξ ∂
train_00336,Φ Ξ ∂ Ω Φ Ω Φ Ξ ∂ Ξ ∂ Ω
train_00337,Ξ ∫ Ξ ∫ Φ Ω Ξ
train_00338,∇ ∂ Φ ∂ ∫ ∫ ∫ Ξ ∂ ∇ ∫ Φ
train_00339,∇ Φ Φ Φ Ξ ∫ Φ ∂ Ω Φ ∇ Ξ Ξ ∂
train_00340,Φ ∂ Ξ ∫ ∫ ∇ ∂ ∇ ∂ Ω
train_00341,Ξ ∂ ∂ Ξ Ω ∂ ∫
train_00342,Φ ∂ Ξ ∫ ∂ ∂ Ξ
train_00343,Ω Φ ∫ ∇ ∫ ∇ Ω Φ Φ ∫ Φ Ω ∇
train_00344,Ω ∫ ∇ ∇ Ξ Ω ∇ ∫ Φ Ξ Ξ ∇ ∫
train_00345,∇ Ξ ∂ ∫ Ξ ∫ ∂ ∂ ∫ ∂ Ξ
train_00346,Ξ ∫ ∫ ∇ Φ
train_00347,∫ ∂ Ξ ∂ Ω ∫ ∂ Φ ∫ Ξ ∫
train_00348,∇ Φ Ω Φ Ω Ω Ω Ω Φ Ξ ∇ Ω ∇ ∫
train_00349,∫ ∇ Φ ∂ ∫ Φ ∂ ∇
train_00350,∇ ∇ Φ ∫ ∫ Φ Ω Φ ∂ ∂ ∇ Ξ
train_00351,Ω Ξ Ξ ∂ ∫ ∂ ∇
train_00352,∇ ∫ ∂ Ω ∫ Ξ ∫ ∇ Φ ∂ ∂ ∂ Ξ ∫
train_00353,Ξ ∇ Ω ∫ ∇ Ω ∇ Ξ Ξ Φ Φ
train_00354,∇ Ω ∂ Φ Ξ Φ Ω Ξ
train_00355,Φ ∂ Ω Ξ ∇ ∇ Ξ Ω Ω ∇ Φ
